,Aquatica Species,Bass Lake,Clearwater River,Dahler Lake,Decker Lake,Garfield Lake,Mud Hen Lake,Necktie River,Ottertail River,Phantom Lake,Plantagenet,Shell Lake,Upper Rice Lake,Barron,FY-C20,Itasca-C12,Itasca-C20,K2,PM3E
Aquatica Species,0.9081,0.0049,0.0048,0.0049,0.0049,0.0048,0.0048,0.0049,0.005,0.0047,0.0048,0.0049,0.0047,0.0049,0.0095,0.0048,0.005,0.0048,0.0048
Bass Lake,0.0048,0.8936,0.0047,0.0049,0.0096,0.0047,0.0048,0.0047,0.0048,0.005,0.0047,0.005,0.0146,0.005,0.0096,0.0048,0.005,0.005,0.0048
Clearwater River,0.0049,0.0049,0.9126,0.0048,0.0048,0.0049,0.0049,0.0048,0.0048,0.0046,0.0049,0.0049,0.0049,0.0049,0.0048,0.0048,0.0049,0.0048,0.0049
Dahler Lake,0.0049,0.0048,0.005,0.898,0.0049,0.0048,0.0046,0.0048,0.0049,0.005,0.0051,0.0049,0.0096,0.005,0.0145,0.0047,0.0049,0.0049,0.0048
Decker Lake,0.0048,0.0051,0.0048,0.0048,0.9084,0.0046,0.0049,0.0046,0.0047,0.0049,0.0051,0.005,0.0081,0.0048,0.0063,0.0049,0.0046,0.0047,0.0048
Garfield Lake,0.0049,0.0048,0.0047,0.0048,0.0047,0.9036,0.0049,0.0144,0.0049,0.0049,0.005,0.0047,0.005,0.0048,0.005,0.0048,0.0046,0.0049,0.0048
Mud Hen Lake,0.0118,0.0115,0.0114,0.0113,0.0115,0.0114,0.7935,0.0114,0.0117,0.0114,0.0115,0.0112,0.0116,0.0113,0.0114,0.0115,0.0116,0.0116,0.0115
Necktie River,0.0051,0.0047,0.0048,0.0051,0.0048,0.0048,0.0049,0.9128,0.0048,0.0051,0.0048,0.0049,0.0048,0.0048,0.0048,0.0049,0.0048,0.0048,0.0047
Ottertail River,0.0048,0.0048,0.0047,0.005,0.0048,0.0047,0.0048,0.0049,0.9081,0.0049,0.005,0.0049,0.0096,0.0049,0.005,0.0048,0.0048,0.0047,0.0048
Phantom Lake,0.0049,0.0049,0.0096,0.0048,0.0048,0.0049,0.0047,0.0048,0.0049,0.9032,0.0048,0.0049,0.0049,0.0048,0.0096,0.0049,0.0049,0.0048,0.0049
Plantagenet,0.0092,0.0092,0.0091,0.0094,0.0091,0.0092,0.0092,0.0091,0.0089,0.0091,0.6806,0.0092,0.0092,0.0182,0.0097,0.1448,0.0092,0.0185,0.009
Shell Lake,0.0047,0.0048,0.0047,0.005,0.0049,0.0048,0.0048,0.0049,0.0191,0.0048,0.0049,0.8843,0.0097,0.0048,0.0145,0.0046,0.0049,0.0049,0.0049
Upper Rice Lake,0.0047,0.0085,0.029,0.0096,0.0098,0.0047,0.0048,0.005,0.0048,0.0049,0.0048,0.0097,0.8696,0.0048,0.0048,0.0058,0.0049,0.005,0.0049
Barron,0.0076,0.0076,0.0076,0.0074,0.0078,0.0077,0.0077,0.0077,0.0075,0.0074,0.0226,0.0074,0.0076,0.7105,0.0151,0.1307,0.0074,0.0152,0.0074
FY-C20,0.0067,0.0068,0.0068,0.0068,0.007,0.0072,0.007,0.007,0.0071,0.0069,0.007,0.007,0.0069,0.0341,0.6874,0.1676,0.007,0.007,0.007
Itasca-C12,0.0066,0.0067,0.0065,0.0067,0.0068,0.0071,0.0065,0.0069,0.0066,0.0065,0.0081,0.0068,0.0065,0.0264,0.0264,0.8389,0.0066,0.0066,0.0067
Itasca-C20,0.0109,0.011,0.011,0.0108,0.0113,0.0112,0.011,0.011,0.0115,0.0111,0.0111,0.0108,0.0113,0.0249,0.0111,0.1192,0.6783,0.0114,0.0111
K2,0.0074,0.0077,0.0076,0.0074,0.0153,0.0077,0.0075,0.0075,0.0074,0.0075,0.0076,0.0075,0.0076,0.03,0.0301,0.0231,0.0075,0.7961,0.0075
PM3E,0.0085,0.026,0.0086,0.0734,0.0085,0.0085,0.0084,0.0085,0.0086,0.0085,0.0087,0.0086,0.0511,0.0085,0.0226,0.0245,0.0085,0.0085,0.6915
